,team,rank,goal_diff,points,season
0,Bayern,1,55,78,2021
1,RB Leipzig,2,28,65,2021
2,Dortmund,3,29,64,2021
3,Wolfsburg,4,24,61,2021
4,Frankfurt,5,16,60,2021
5,Leverkusen,6,14,52,2021
6,Union Berlin,7,7,50,2021
7,M'gladbach,8,8,49,2021
8,Stuttgart,9,1,45,2021
9,Freiburg,10,0,45,2021
10,Hoffenheim,11,-2,43,2021
11,Mainz,12,-17,39,2021
12,Augsburg,13,-18,36,2021
13,Hertha BSC,14,-11,35,2021
14,Bielefeld,15,-26,35,2021
15,Köln,16,-26,33,2021
16,Bremen,17,-21,31,2021
17,Schalke,18,-61,16,2021
