,team,rank,goal_diff,points,season
0,Bayern,1,54,71,2023
1,Dortmund,2,39,71,2023
2,RB Leipzig,3,23,66,2023
3,Union Berlin,4,13,62,2023
4,Freiburg,5,7,59,2023
5,Leverkusen,6,8,50,2023
6,Frankfurt,7,6,50,2023
7,Wolfsburg,8,9,49,2023
8,Mainz,9,-1,46,2023
9,M'gladbach,10,-3,43,2023
10,Köln,11,-5,42,2023
11,Hoffenheim,12,-9,36,2023
12,Bremen,13,-13,36,2023
13,VfL Bochum,14,-32,35,2023
14,Augsburg,15,-21,34,2023
15,Stuttgart,16,-12,33,2023
16,Schalke,17,-36,31,2023
17,Hertha BSC,18,-27,29,2023
