,team,rank,goal_diff,points,season
0,Bayern,1,68,82,2020
1,Dortmund,2,43,69,2020
2,RB Leipzig,3,44,66,2020
3,M'gladbach,4,26,65,2020
4,Leverkusen,5,17,63,2020
5,Hoffenheim,6,0,52,2020
6,Wolfsburg,7,2,49,2020
7,Freiburg,8,1,48,2020
8,Frankfurt,9,-1,45,2020
9,Hertha BSC,10,-11,41,2020
10,Union Berlin,11,-17,41,2020
11,Schalke,12,-20,39,2020
12,Mainz,13,-21,37,2020
13,Köln,14,-18,36,2020
14,Augsburg,15,-18,36,2020
15,Bremen,16,-27,31,2020
16,Düsseldorf,17,-31,30,2020
17,Paderborn,18,-37,20,2020
