,team,rank,goal_diff,points,season
0,Bayern,1,56,78,2019
1,Dortmund,2,37,76,2019
2,RB Leipzig,3,34,66,2019
3,Leverkusen,4,17,58,2019
4,M'gladbach,5,13,55,2019
5,Wolfsburg,6,12,55,2019
6,Frankfurt,7,12,54,2019
7,Bremen,8,9,53,2019
8,Hoffenheim,9,18,51,2019
9,Düsseldorf,10,-16,44,2019
10,Hertha BSC,11,-8,43,2019
11,Mainz,12,-11,43,2019
12,Freiburg,13,-15,36,2019
13,Schalke,14,-18,33,2019
14,Augsburg,15,-20,32,2019
15,Stuttgart,16,-38,28,2019
16,Hannover,17,-40,21,2019
17,Nürnberg,18,-42,19,2019
