,team,rank,goal_diff,points,season
0,Bayern,1,60,77,2022
1,Dortmund,2,33,69,2022
2,Leverkusen,3,33,64,2022
3,RB Leipzig,4,35,58,2022
4,Union Berlin,5,6,57,2022
5,Freiburg,6,12,55,2022
6,Köln,7,3,52,2022
7,Mainz,8,5,46,2022
8,Hoffenheim,9,-2,46,2022
9,M'gladbach,10,-7,45,2022
10,Frankfurt,11,-4,42,2022
11,Wolfsburg,12,-11,42,2022
12,VfL Bochum,13,-14,42,2022
13,Augsburg,14,-17,38,2022
14,Stuttgart,15,-18,33,2022
15,Hertha BSC,16,-34,33,2022
16,Bielefeld,17,-26,28,2022
17,Fürth,18,-54,18,2022
