,team,rank,goal_diff,points,season
0,Bayern,1,64,84,2018
1,Schalke,2,16,63,2018
2,Hoffenheim,3,18,55,2018
3,Dortmund,4,17,55,2018
4,Leverkusen,5,14,55,2018
5,RB Leipzig,6,4,53,2018
6,Stuttgart,7,0,51,2018
7,Frankfurt,8,0,49,2018
8,M'gladbach,9,-5,47,2018
9,Hertha BSC,10,-3,43,2018
10,Bremen,11,-3,42,2018
11,Augsburg,12,-3,41,2018
12,Hannover,13,-10,39,2018
13,Mainz,14,-14,36,2018
14,Freiburg,15,-24,36,2018
15,Wolfsburg,16,-12,33,2018
16,Hamburg,17,-24,31,2018
17,Köln,18,-35,22,2018
