,team,mean_age,mean_value,season
0,FC Bayern München,26.2,784.88,2019
1,Borussia Dortmund,24.9,643.25,2019
2,RB Leipzig,23.0,479.0,2019
3,Bayer 04 Leverkusen,25.1,429.4,2019
4,TSG 1899 Hoffenheim,24.9,336.25,2019
5,Eintracht Frankfurt,25.4,313.4,2019
6,Borussia Mönchengladbach,25.7,264.3,2019
7,VfL Wolfsburg,25.5,229.25,2019
8,FC Schalke 04,25.6,221.3,2019
9,Hertha BSC,24.9,207.63,2019
10,SV Werder Bremen,26.2,168.05,2019
11,1.FSV Mainz 05,25.3,159.73,2019
12,VfB Stuttgart,25.4,143.75,2019
13,FC Augsburg,25.4,139.25,2019
14,SC Freiburg,25.5,122.1,2019
15,Fortuna Düsseldorf,26.7,94.95,2019
16,Hannover 96,26.2,91.43,2019
17,1.FC Nürnberg,25.7,54.4,2019
