,team,mean_age,mean_value,season
0,FC Bayern München,25.2,790.33,2022
1,Borussia Dortmund,24.5,558.98,2022
2,RB Leipzig,24.3,498.95,2022
3,Bayer 04 Leverkusen,25.1,455.05,2022
4,VfL Wolfsburg,25.7,269.3,2022
5,Borussia Mönchengladbach,25.8,236.8,2022
6,Eintracht Frankfurt,25.7,228.75,2022
7,TSG 1899 Hoffenheim,25.3,211.43,2022
8,SC Freiburg,25.5,176.35,2022
9,VfB Stuttgart,24.0,174.23,2022
10,Hertha BSC,25.2,155.78,2022
11,1.FSV Mainz 05,25.5,131.03,2022
12,1.FC Union Berlin,27.1,115.9,2022
13,1.FC Köln,25.8,99.28,2022
14,FC Augsburg,26.0,95.3,2022
15,Arminia Bielefeld,25.1,65.85,2022
16,VfL Bochum,27.7,52.25,2022
17,SpVgg Greuther Fürth,25.1,36.95,2022
