,team,mean_age,mean_value,season
0,FC Bayern München,27.6,856.0,2025
1,Bayer 04 Leverkusen,26.7,637.05,2025
2,RB Leipzig,25.0,526.75,2025
3,Borussia Dortmund,25.1,473.2,2025
4,VfB Stuttgart,24.0,333.73,2025
5,Eintracht Frankfurt,25.3,288.05,2025
6,VfL Wolfsburg,25.6,229.3,2025
7,SC Freiburg,27.3,167.35,2025
8,TSG 1899 Hoffenheim,25.9,158.05,2025
9,Borussia Mönchengladbach,26.3,139.7,2025
10,SV Werder Bremen,26.5,131.35,2025
11,1.FC Union Berlin,27.5,115.88,2025
12,1.FSV Mainz 05,27.1,112.4,2025
13,FC Augsburg,26.3,93.08,2025
14,1.FC Heidenheim 1846,26.9,65.18,2025
15,VfL Bochum,27.3,54.85,2025
16,FC St. Pauli,26.5,54.18,2025
17,Holstein Kiel,26.0,40.05,2025
