,team,mean_age,mean_value,season
0,FC Bayern München,25.2,965.15,2024
1,Bayer 04 Leverkusen,24.9,658.35,2024
2,RB Leipzig,25.2,545.4,2024
3,Borussia Dortmund,25.6,494.8,2024
4,VfB Stuttgart,24.4,346.63,2024
5,Eintracht Frankfurt,24.7,326.65,2024
6,VfL Wolfsburg,25.0,206.45,2024
7,SC Freiburg,26.3,180.35,2024
8,TSG 1899 Hoffenheim,26.1,176.0,2024
9,Borussia Mönchengladbach,26.0,165.23,2024
10,1.FC Union Berlin,27.5,160.95,2024
11,1.FSV Mainz 05,26.5,142.88,2024
12,FC Augsburg,25.6,140.8,2024
13,SV Werder Bremen,26.4,134.93,2024
14,1.FC Köln,26.1,81.45,2024
15,1.FC Heidenheim 1846,26.8,66.45,2024
16,VfL Bochum,28.3,64.53,2024
17,SV Darmstadt 98,27.0,38.7,2024
