,team,mean_age,mean_value,season
0,FC Bayern München,24.2,777.33,2020
1,Borussia Dortmund,25.0,654.05,2020
2,RB Leipzig,23.4,570.48,2020
3,Bayer 04 Leverkusen,25.7,398.95,2020
4,Borussia Mönchengladbach,26.3,254.7,2020
5,TSG 1899 Hoffenheim,26.8,226.05,2020
6,FC Schalke 04,24.6,221.58,2020
7,Hertha BSC,24.7,217.2,2020
8,Eintracht Frankfurt,27.0,208.98,2020
9,VfL Wolfsburg,25.2,207.6,2020
10,SV Werder Bremen,26.6,135.13,2020
11,SC Freiburg,26.3,122.65,2020
12,1.FSV Mainz 05,24.4,121.58,2020
13,FC Augsburg,26.0,112.95,2020
14,1.FC Köln,25.7,98.48,2020
15,Fortuna Düsseldorf,26.7,71.78,2020
16,1.FC Union Berlin,26.7,41.2,2020
17,SC Paderborn 07,25.9,28.9,2020
