,team,mean_age,mean_value,season
0,FC Bayern München,24.4,858.23,2021
1,Borussia Dortmund,25.5,628.4,2021
2,RB Leipzig,24.1,574.95,2021
3,Bayer 04 Leverkusen,25.6,373.25,2021
4,Borussia Mönchengladbach,26.2,300.75,2021
5,Eintracht Frankfurt,26.2,269.15,2021
6,VfL Wolfsburg,26.4,256.83,2021
7,Hertha BSC,24.9,228.88,2021
8,TSG 1899 Hoffenheim,25.4,228.15,2021
9,VfB Stuttgart,24.4,189.25,2021
10,1.FSV Mainz 05,25.4,163.3,2021
11,SC Freiburg,25.7,139.1,2021
12,FC Schalke 04,25.3,123.05,2021
13,1.FC Köln,25.3,118.2,2021
14,SV Werder Bremen,25.7,111.98,2021
15,FC Augsburg,26.4,93.05,2021
16,1.FC Union Berlin,26.4,82.05,2021
17,Arminia Bielefeld,25.4,56.73,2021
